x,y
0.00000,0.84231
1236.00000,0.82630
1317.00000,0.84099
1412.00000,0.85686
1531.00000,0.88163
1684.00000,0.90975
1896.00000,0.93549
2141.00000,0.94828
2446.00000,0.94935
2925.00000,0.95900
3827.00000,0.95988
7717.00000,1.00000
