x,y
0.00000,0.60369
4979.00000,0.60103
5215.00000,0.61697
5487.00000,0.63386
5806.00000,0.65595
6184.00000,0.68048
6636.00000,0.69877
7207.00000,0.72879
7894.00000,0.76705
8809.00000,0.82290
10193.00000,0.89735
14879.00000,1.00000
