x,y
0.00000,0.00728
4739.00000,0.01166
4885.00000,0.01307
5068.00000,0.01481
5285.00000,0.01717
5541.00000,0.01939
5852.00000,0.02133
6245.00000,0.02148
6766.00000,0.02280
7484.00000,0.02489
8556.00000,0.03089
12790.00000,0.00000
