x,y
0.00000,0.58970
1277.00000,0.59068
1368.00000,0.57882
1474.00000,0.55792
1602.00000,0.53990
1758.00000,0.64591
1992.00000,0.69204
2274.00000,0.66092
2653.00000,0.61395
3245.00000,0.57364
4380.00000,0.46412
8029.00000,0.00000
